# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -0.001   Z = 0.0149205   Y = 0.26948852   Age (Myr) = 100.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP    G_RVS
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.61159  3.47675   12.5778  14.3468  11.3200  10.7541
   0.1161959513   0.1161959513  -2.49053  3.48669   12.1779  13.8198  10.9528  10.3802
   0.1323919027   0.1323919027  -2.38797  3.49492   11.8437  13.3899  10.6451  10.0721
   0.1485878540   0.1485878540  -2.32711  3.50145   11.6302  13.1052  10.4519   9.8785
   0.1647838053   0.1647838053  -2.26452  3.50675   11.4288  12.8526  10.2666   9.6938
   0.1809797567   0.1809797567  -2.20756  3.51179   11.2467  12.6254  10.0997   9.5275
   0.1971757080   0.1971757080  -2.15036  3.51593   11.0699  12.4107   9.9359   9.3665
   0.2133716593   0.2133716593  -2.09899  3.51964   10.9070  12.2092   9.7853   9.2216
   0.2295676107   0.2295676107  -2.05033  3.52305   10.7496  12.0120   9.6398   9.0843
   0.2457635620   0.2457635620  -2.00544  3.52628   10.6022  11.8259   9.5039   8.9575
   0.2619595133   0.2619595133  -1.96305  3.52925   10.4649  11.6546   9.3769   8.8390
   0.2781554647   0.2781554647  -1.92293  3.53201   10.3379  11.4995   9.2591   8.7283
   0.2943514160   0.2943514160  -1.88470  3.53462   10.2203  11.3594   9.1497   8.6244
   0.3105473673   0.3105473673  -1.84657  3.53723   10.1059  11.2261   9.0430   8.5220
   0.3267433187   0.3267433187  -1.80875  3.53988    9.9944  11.0984   8.9390   8.4214
   0.3429392700   0.3429392700  -1.77236  3.54256    9.8882  10.9779   8.8401   8.3251
   0.3591352214   0.3591352214  -1.73564  3.54540    9.7817  10.8577   8.7412   8.2284
   0.3753311727   0.3753311727  -1.69800  3.54827    9.6738  10.7368   8.6409   8.1301
   0.3915271240   0.3915271240  -1.66127  3.55108    9.5692  10.6201   8.5437   8.0348
   0.4077230754   0.4077230754  -1.62290  3.55416    9.4596  10.4973   8.4422   7.9357
   0.4239190267   0.4239190267  -1.58253  3.55754    9.3436  10.3667   8.3351   7.8323
