# Isochrone from from BaSTI-IAC database
# Alpha-enhanced=+0.4 models & transformations  -  GAIA-DR3-NEW
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -2.199   Z = 0.0000996   Y = 0.24711700   Age (Myr) = 11000.000
#===============================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP    G_RVS
#===============================================================
   0.1000000000   0.1000000000  -2.91035  3.51678   12.5648  13.6543  11.5430  11.0111
   0.1018801868   0.1018801868  -2.87821  3.52078   12.4742  13.5478  11.4588  10.9447
   0.1037603735   0.1037603735  -2.84665  3.52470   12.3814  13.4401  11.3717  10.8822
   0.1056405603   0.1056405603  -2.81563  3.52856   12.2880  13.3325  11.2837  10.8207
   0.1075207470   0.1075207470  -2.78514  3.53236   12.1955  13.2265  11.1970  10.7579
   0.1094009338   0.1094009338  -2.75517  3.53609   12.1051  13.1231  11.1129  10.6923
   0.1112811205   0.1112811205  -2.72569  3.53976   12.0175  13.0225  11.0321  10.6247
   0.1131613073   0.1131613073  -2.69669  3.54337   11.9330  12.9249  10.9549  10.5560
   0.1150414941   0.1150414941  -2.66815  3.54693   11.8520  12.8303  10.8815  10.4870
   0.1169216808   0.1169216808  -2.64004  3.55043   11.7738  12.7380  10.8111  10.4183
   0.1188018676   0.1188018676  -2.61229  3.55389   11.6973  12.6474  10.7426  10.3500
   0.1206820543   0.1206820543  -2.58803  3.55667   11.6309  12.5695  10.6827  10.2903
   0.1225622411   0.1225622411  -2.56949  3.55833   11.5810  12.5127  10.6367  10.2447
   0.1244424278   0.1244424278  -2.55121  3.55996   11.5317  12.4567  10.5912  10.1997
   0.1263226146   0.1263226146  -2.53320  3.56157   11.4829  12.4013  10.5463  10.1554
   0.1282028014   0.1282028014  -2.51543  3.56315   11.4348  12.3466  10.5019  10.1118
   0.1300829881   0.1300829881  -2.49791  3.56472   11.3873  12.2926  10.4581  10.0687
   0.1319631749   0.1319631749  -2.48063  3.56626   11.3403  12.2392  10.4148  10.0263
   0.1338433616   0.1338433616  -2.46358  3.56778   11.2940  12.1866  10.3721   9.9844
   0.1357235484   0.1357235484  -2.44675  3.56928   11.2483  12.1346  10.3300   9.9430
   0.1376037351   0.1376037351  -2.43014  3.57076   11.2033  12.0833  10.2885   9.9022
   0.1394839219   0.1394839219  -2.41374  3.57222   11.1588  12.0326  10.2475   9.8619
   0.1413641087   0.1413641087  -2.39756  3.57366   11.1148  11.9826  10.2071   9.8221
   0.1432442954   0.1432442954  -2.38157  3.57509   11.0714  11.9331  10.1671   9.7827
   0.1451244822   0.1451244822  -2.36578  3.57649   11.0285  11.8842  10.1277   9.7439
   0.1470046689   0.1470046689  -2.35018  3.57788   10.9862  11.8360  10.0887   9.7055
   0.1488848557   0.1488848557  -2.33477  3.57925   10.9443  11.7882  10.0501   9.6675
   0.1507650425   0.1507650425  -2.32059  3.58038   10.9060  11.7451  10.0147   9.6326
   0.1526452292   0.1526452292  -2.30807  3.58118   10.8728  11.7084   9.9834   9.6016
   0.1545254160   0.1545254160  -2.29569  3.58197   10.8399  11.6721   9.9525   9.5711
   0.1564056027   0.1564056027  -2.28346  3.58275   10.8074  11.6363   9.9219   9.5409
   0.1582857895   0.1582857895  -2.27136  3.58353   10.7752  11.6008   9.8917   9.5110
   0.1601659762   0.1601659762  -2.25940  3.58429   10.7435  11.5657   9.8618   9.4814
   0.1620461630   0.1620461630  -2.24757  3.58504   10.7120  11.5310   9.8322   9.4522
   0.1639263498   0.1639263498  -2.23586  3.58579   10.6809  11.4966   9.8030   9.4233
   0.1658065365   0.1658065365  -2.22429  3.58652   10.6501  11.4626   9.7740   9.3947
   0.1676867233   0.1676867233  -2.21283  3.58725   10.6197  11.4290   9.7454   9.3664
   0.1695669100   0.1695669100  -2.20150  3.58797   10.5895  11.3956   9.7170   9.3385
   0.1714470968   0.1714470968  -2.19028  3.58868   10.5597  11.3627   9.6890   9.3108
   0.1733272835   0.1733272835  -2.17918  3.58939   10.5302  11.3300   9.6612   9.2833
   0.1752074703   0.1752074703  -2.16820  3.59009   10.5009  11.2977   9.6337   9.2562
   0.1770876571   0.1770876571  -2.15732  3.59078   10.4720  11.2657   9.6065   9.2293
   0.1789678438   0.1789678438  -2.14655  3.59146   10.4434  11.2339   9.5795   9.2028
   0.1808480306   0.1808480306  -2.13620  3.59208   10.4159  11.2037   9.5536   9.1772
   0.1827282173   0.1827282173  -2.12632  3.59263   10.3899  11.1751   9.5289   9.1528
   0.1846084041   0.1846084041  -2.11653  3.59317   10.3640  11.1468   9.5045   9.1286
   0.1864885908   0.1864885908  -2.10684  3.59371   10.3384  11.1187   9.4802   9.1046
   0.1883687776   0.1883687776  -2.09724  3.59425   10.3131  11.0909   9.4562   9.0809
   0.1902489644   0.1902489644  -2.08772  3.59477   10.2880  11.0634   9.4324   9.0573
   0.1921291511   0.1921291511  -2.07829  3.59530   10.2631  11.0361   9.4088   9.0340
   0.1940093379   0.1940093379  -2.06895  3.59581   10.2384  11.0091   9.3854   9.0109
   0.1958895246   0.1958895246  -2.05969  3.59632   10.2139  10.9823   9.3622   8.9880
   0.1977697114   0.1977697114  -2.05051  3.59683   10.1897  10.9557   9.3392   8.9653
   0.1996498981   0.1996498981  -2.04141  3.59733   10.1656  10.9294   9.3164   8.9428
   0.2015300849   0.2015300849  -2.03281  3.59779   10.1429  10.9046   9.2949   8.9215
   0.2034102717   0.2034102717  -2.02438  3.59823   10.1207  10.8804   9.2737   8.9006
   0.2052904584   0.2052904584  -2.01603  3.59866   10.0987  10.8565   9.2528   8.8799
   0.2071706452   0.2071706452  -2.00776  3.59909   10.0769  10.8327   9.2321   8.8594
   0.2090508319   0.2090508319  -1.99956  3.59952   10.0552  10.8092   9.2115   8.8391
   0.2109310187   0.2109310187  -1.99143  3.59994   10.0338  10.7859   9.1911   8.8189
