# Isochrone from from BaSTI-IAC database
# Alpha-enhanced=+0.4 models & transformations  -  GAIA-DR3-NEW
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -0.998   Z = 0.0015720   Y = 0.24904000   Age (Myr) = 11000.000
#===============================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP    G_RVS
#===============================================================
   0.1000000000   0.1000000000  -3.01963  3.47582   13.2499  14.7398  12.0802  11.4653
   0.1019583311   0.1019583311  -2.98686  3.48019   13.1423  14.5930  11.9840  11.3731
   0.1039166623   0.1039166623  -2.95471  3.48447   13.0373  14.4512  11.8903  11.2840
   0.1058749934   0.1058749934  -2.92316  3.48867   12.9346  14.3137  11.7985  11.1975
   0.1078333246   0.1078333246  -2.89218  3.49280   12.8337  14.1799  11.7083  11.1133
   0.1097916557   0.1097916557  -2.86176  3.49685   12.7346  14.0495  11.6197  11.0312
   0.1117499869   0.1117499869  -2.83187  3.50083   12.6380  13.9236  11.5333  10.9511
   0.1137083180   0.1137083180  -2.80249  3.50475   12.5447  13.8029  11.4497  10.8728
   0.1156666491   0.1156666491  -2.77362  3.50860   12.4549  13.6879  11.3692  10.7962
   0.1176249803   0.1176249803  -2.74523  3.51238   12.3666  13.5753  11.2901  10.7213
   0.1195833114   0.1195833114  -2.71730  3.51610   12.2771  13.4612  11.2100  10.6479
   0.1215416426   0.1215416426  -2.69634  3.51831   12.2108  13.3792  11.1496  10.5937
   0.1234999737   0.1234999737  -2.67747  3.52008   12.1506  13.3057  11.0944  10.5451
   0.1254583049   0.1254583049  -2.65889  3.52184   12.0901  13.2315  11.0390  10.4973
   0.1274166360   0.1274166360  -2.64060  3.52356   12.0295  13.1573  10.9836  10.4503
   0.1293749671   0.1293749671  -2.62258  3.52526   11.9692  13.0836  10.9285  10.4040
   0.1313332983   0.1313332983  -2.60483  3.52693   11.9096  13.0110  10.8740  10.3585
   0.1332916294   0.1332916294  -2.58735  3.52858   11.8510  12.9398  10.8203  10.3137
   0.1352499606   0.1352499606  -2.57012  3.53020   11.7936  12.8707  10.7677  10.2696
   0.1372082917   0.1372082917  -2.55313  3.53181   11.7376  12.8040  10.7164  10.2262
   0.1391666229   0.1391666229  -2.53638  3.53338   11.6834  12.7400  10.6666  10.1835
   0.1411249540   0.1411249540  -2.51987  3.53494   11.6307  12.6784  10.6181  10.1415
   0.1430832851   0.1430832851  -2.50358  3.53648   11.5795  12.6192  10.5710  10.1001
   0.1450416163   0.1450416163  -2.48752  3.53799   11.5298  12.5620  10.5251  10.0593
   0.1469999474   0.1469999474  -2.47166  3.53948   11.4815  12.5067  10.4804  10.0192
   0.1489582786   0.1489582786  -2.45602  3.54096   11.4344  12.4531  10.4369   9.9796
   0.1509166097   0.1509166097  -2.44168  3.54217   11.3924  12.4060  10.3979   9.9435
   0.1528749409   0.1528749409  -2.42878  3.54309   11.3558  12.3656  10.3635   9.9110
   0.1548332720   0.1548332720  -2.41604  3.54400   11.3199  12.3259  10.3297   9.8790
   0.1567916031   0.1567916031  -2.40344  3.54490   11.2845  12.2869  10.2964   9.8474
   0.1587499343   0.1587499343  -2.39098  3.54578   11.2498  12.2485  10.2637   9.8162
   0.1607082654   0.1607082654  -2.37867  3.54666   11.2156  12.2107  10.2315   9.7853
   0.1626665966   0.1626665966  -2.36649  3.54752   11.1819  12.1736  10.1998   9.7548
   0.1646249277   0.1646249277  -2.35444  3.54838   11.1487  12.1370  10.1686   9.7246
   0.1665832589   0.1665832589  -2.34253  3.54922   11.1160  12.1009  10.1378   9.6948
   0.1685415900   0.1685415900  -2.33074  3.55006   11.0837  12.0652  10.1075   9.6654
   0.1704999211   0.1704999211  -2.31908  3.55088   11.0519  12.0301  10.0775   9.6362
   0.1724582523   0.1724582523  -2.30755  3.55170   11.0204  11.9954  10.0479   9.6074
   0.1744165834   0.1744165834  -2.29613  3.55250   10.9893  11.9610  10.0186   9.5789
   0.1763749146   0.1763749146  -2.28483  3.55330   10.9585  11.9271   9.9896   9.5507
   0.1783332457   0.1783332457  -2.27364  3.55409   10.9281  11.8935   9.9610   9.5228
   0.1802915769   0.1802915769  -2.26268  3.55485   10.8983  11.8607   9.9329   9.4954
   0.1822499080   0.1822499080  -2.25247  3.55547   10.8708  11.8307   9.9068   9.4700
   0.1842082391   0.1842082391  -2.24235  3.55609   10.8435  11.8009   9.8810   9.4447
   0.1861665703   0.1861665703  -2.23234  3.55670   10.8165  11.7714   9.8554   9.4198
   0.1881249014   0.1881249014  -2.22242  3.55730   10.7897  11.7422   9.8300   9.3950
   0.1900832326   0.1900832326  -2.21260  3.55790   10.7632  11.7132   9.8048   9.3705
   0.1920415637   0.1920415637  -2.20287  3.55849   10.7368  11.6845   9.7799   9.3463
   0.1939998949   0.1939998949  -2.19323  3.55908   10.7107  11.6560   9.7552   9.3223
   0.1959582260   0.1959582260  -2.18367  3.55966   10.6849  11.6278   9.7307   9.2985
   0.1979165571   0.1979165571  -2.17421  3.56023   10.6592  11.5998   9.7064   9.2749
   0.1998748883   0.1998748883  -2.16483  3.56080   10.6338  11.5720   9.6823   9.2515
   0.2018332194   0.2018332194  -2.15594  3.56131   10.6098  11.5459   9.6594   9.2294
   0.2037915506   0.2037915506  -2.14716  3.56180   10.5861  11.5202   9.6369   9.2075
   0.2057498817   0.2057498817  -2.13845  3.56230   10.5626  11.4946   9.6146   9.1858
   0.2077082129   0.2077082129  -2.12983  3.56279   10.5393  11.4693   9.5924   9.1643
   0.2096665440   0.2096665440  -2.12128  3.56327   10.5162  11.4441   9.5704   9.1430
   0.2116248751   0.2116248751  -2.11280  3.56375   10.4932  11.4192   9.5487   9.1219
   0.2135832063   0.2135832063  -2.10440  3.56422   10.4705  11.3946   9.5271   9.1009
   0.2155415374   0.2155415374  -2.09607  3.56470   10.4480  11.3701   9.5057   9.0802
   0.2174998686   0.2174998686  -2.08781  3.56516   10.4257  11.3458   9.4845   9.0596
   0.2194581997   0.2194581997  -2.07962  3.56562   10.4035  11.3217   9.4634   9.0392
   0.2214165309   0.2214165309  -2.07150  3.56608   10.3816  11.2979   9.4426   9.0190
   0.2233748620   0.2233748620  -2.06345  3.56653   10.3598  11.2742   9.4219   8.9990
   0.2253331931   0.2253331931  -2.05547  3.56698   10.3382  11.2507   9.4014   8.9791
   0.2272915243   0.2272915243  -2.04755  3.56743   10.3168  11.2275   9.3810   8.9594
   0.2292498554   0.2292498554  -2.03969  3.56787   10.2956  11.2044   9.3608   8.9398
   0.2312081866   0.2312081866  -2.03190  3.56831   10.2745  11.1815   9.3408   8.9204
   0.2331665177   0.2331665177  -2.02417  3.56874   10.2536  11.1588   9.3210   8.9011
   0.2351248489   0.2351248489  -2.01650  3.56917   10.2329  11.1363   9.3013   8.8820
   0.2370831800   0.2370831800  -2.00889  3.56960   10.2124  11.1139   9.2818   8.8631
   0.2390415111   0.2390415111  -2.00127  3.57002   10.1918  11.0916   9.2622   8.8441
   0.2409998423   0.2409998423  -1.99370  3.57044   10.1714  11.0694   9.2428   8.8253
   0.2429581734   0.2429581734  -1.98619  3.57086   10.1511  11.0473   9.2236   8.8066
   0.2449165046   0.2449165046  -1.97874  3.57128   10.1310  11.0255   9.2045   8.7881
   0.2468748357   0.2468748357  -1.97135  3.57169   10.1111  11.0038   9.1855   8.7697
   0.2488331669   0.2488331669  -1.96402  3.57210   10.0913  10.9823   9.1668   8.7514
   0.2507914980   0.2507914980  -1.95683  3.57249   10.0719  10.9613   9.1483   8.7335
   0.2527498291   0.2527498291  -1.94984  3.57286   10.0532  10.9410   9.1305   8.7161
   0.2547081603   0.2547081603  -1.94293  3.57323   10.0346  10.9208   9.1128   8.6989
   0.2566664914   0.2566664914  -1.93610  3.57359   10.0162  10.9010   9.0953   8.6819
   0.2586248226   0.2586248226  -1.92935  3.57395    9.9981  10.8813   9.0780   8.6651
   0.2605831537   0.2605831537  -1.92267  3.57430    9.9801  10.8619   9.0609   8.6485
   0.2625414849   0.2625414849  -1.91592  3.57466    9.9620  10.8422   9.0437   8.6317
   0.2644998160   0.2644998160  -1.90926  3.57501    9.9441  10.8228   9.0266   8.6151
   0.2664581471   0.2664581471  -1.90266  3.57536    9.9264  10.8037   9.0098   8.5987
   0.2684164783   0.2684164783  -1.89613  3.57570    9.9089  10.7847   8.9931   8.5825
   0.2703748094   0.2703748094  -1.88967  3.57604    9.8916  10.7659   8.9766   8.5664
   0.2723331406   0.2723331406  -1.88325  3.57638    9.8743  10.7472   8.9601   8.5504
   0.2742914717   0.2742914717  -1.87688  3.57672    9.8572  10.7287   8.9439   8.5346
   0.2762498029   0.2762498029  -1.87059  3.57705    9.8403  10.7105   8.9278   8.5190
   0.2782081340   0.2782081340  -1.86437  3.57738    9.8236  10.6924   8.9119   8.5035
   0.2801664651   0.2801664651  -1.85815  3.57770    9.8070  10.6743   8.8960   8.4880
   0.2821247963   0.2821247963  -1.85192  3.57802    9.7903  10.6563   8.8801   8.4725
   0.2840831274   0.2840831274  -1.84576  3.57834    9.7737  10.6384   8.8644   8.4572
   0.2860414586   0.2860414586  -1.83966  3.57865    9.7574  10.6208   8.8488   8.4421
   0.2879997897   0.2879997897  -1.83366  3.57896    9.7413  10.6034   8.8335   8.4271
   0.2899581209   0.2899581209  -1.82775  3.57927    9.7255  10.5862   8.8183   8.4124
   0.2919164520   0.2919164520  -1.82191  3.57957    9.7098  10.5693   8.8034   8.3979
   0.2938747831   0.2938747831  -1.81609  3.57987    9.6942  10.5524   8.7886   8.3835
   0.2958331143   0.2958331143  -1.81035  3.58017    9.6788  10.5358   8.7739   8.3692
   0.2977914454   0.2977914454  -1.80465  3.58046    9.6636  10.5193   8.7594   8.3550
   0.2997497766   0.2997497766  -1.79891  3.58075    9.6482  10.5027   8.7447   8.3407
   0.3017081077   0.3017081077  -1.79257  3.58105    9.6313  10.4845   8.7286   8.3250
   0.3036664389   0.3036664389  -1.78632  3.58135    9.6146  10.4665   8.7126   8.3095
   0.3056247700   0.3056247700  -1.78022  3.58166    9.5983  10.4489   8.6971   8.2943
   0.3075831011   0.3075831011  -1.77426  3.58195    9.5824  10.4317   8.6819   8.2795
   0.3095414323   0.3095414323  -1.76847  3.58225    9.5669  10.4149   8.6671   8.2651
   0.3114997634   0.3114997634  -1.76278  3.58254    9.5516  10.3985   8.6526   8.2510
   0.3134580946   0.3134580946  -1.75713  3.58283    9.5365  10.3821   8.6381   8.2369
   0.3154164257   0.3154164257  -1.75159  3.58312    9.5216  10.3660   8.6240   8.2232
   0.3173747569   0.3173747569  -1.74606  3.58341    9.5068  10.3499   8.6099   8.2095
   0.3193330880   0.3193330880  -1.74064  3.58370    9.4922  10.3341   8.5960   8.1960
   0.3212914191   0.3212914191  -1.73528  3.58398    9.4778  10.3185   8.5823   8.1827
   0.3232497503   0.3232497503  -1.73034  3.58426    9.4644  10.3040   8.5697   8.1704
   0.3252080814   0.3252080814  -1.72598  3.58453    9.4526  10.2910   8.5584   8.1595
   0.3271664126   0.3271664126  -1.72174  3.58479    9.4410  10.2784   8.5475   8.1490
   0.3291247437   0.3291247437  -1.71752  3.58506    9.4295  10.2658   8.5367   8.1385
   0.3310830749   0.3310830749  -1.71324  3.58532    9.4179  10.2530   8.5257   8.1278
   0.3330414060   0.3330414060  -1.70886  3.58559    9.4060  10.2400   8.5144   8.1170
   0.3349997371   0.3349997371  -1.70439  3.58585    9.3938  10.2267   8.5029   8.1059
   0.3369580683   0.3369580683  -1.69984  3.58612    9.3815  10.2133   8.4912   8.0945
   0.3389163994   0.3389163994  -1.69520  3.58639    9.3689  10.1995   8.4793   8.0830
   0.3408747306   0.3408747306  -1.69047  3.58666    9.3561  10.1856   8.4672   8.0712
   0.3428330617   0.3428330617  -1.68560  3.58693    9.3429  10.1713   8.4547   8.0591
   0.3447913929   0.3447913929  -1.68057  3.58721    9.3294  10.1565   8.4418   8.0466
   0.3467497240   0.3467497240  -1.67547  3.58749    9.3156  10.1416   8.4288   8.0340
   0.3487080551   0.3487080551  -1.67038  3.58777    9.3019  10.1266   8.4157   8.0213
   0.3506663863   0.3506663863  -1.66497  3.58809    9.2872  10.1106   8.4019   8.0079
   0.3526247174   0.3526247174  -1.65895  3.58850    9.2706  10.0922   8.3863   7.9929
   0.3545830486   0.3545830486  -1.65295  3.58891    9.2541  10.0740   8.3709   7.9780
   0.3565413797   0.3565413797  -1.64698  3.58932    9.2377  10.0558   8.3555   7.9632
   0.3584997109   0.3584997109  -1.64104  3.58973    9.2214  10.0377   8.3401   7.9485
   0.3604580420   0.3604580420  -1.63513  3.59013    9.2051  10.0197   8.3249   7.9338
