# Isochrone from from BaSTI-IAC database
# Alpha-enhanced=+0.4 models & transformations  -  GAIA-DR3-NEW
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -0.998   Z = 0.0015720   Y = 0.24904000   Age (Myr) = 10000.000
#===============================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP    G_RVS
#===============================================================
   0.1000000000   0.1000000000  -3.01944  3.47584   13.2493  14.7390  12.0797  11.4648
   0.1020259796   0.1020259796  -2.98556  3.48036   13.1380  14.5872  11.9802  11.3695
   0.1040519592   0.1040519592  -2.95234  3.48478   13.0296  14.4409  11.8834  11.2774
   0.1060779388   0.1060779388  -2.91975  3.48912   12.9235  14.2990  11.7886  11.1882
   0.1081039184   0.1081039184  -2.88778  3.49338   12.8193  14.1610  11.6955  11.1014
   0.1101298980   0.1101298980  -2.85640  3.49756   12.7172  14.0268  11.6042  11.0168
   0.1121558776   0.1121558776  -2.82558  3.50167   12.6179  13.8975  11.5153  10.9343
   0.1141818572   0.1141818572  -2.79532  3.50570   12.5222  13.7741  11.4296  10.8537
   0.1162078368   0.1162078368  -2.76558  3.50966   12.4300  13.6562  11.3469  10.7750
   0.1182338164   0.1182338164  -2.73636  3.51355   12.3386  13.5397  11.2650  10.6980
   0.1202597959   0.1202597959  -2.70873  3.51714   12.2494  13.4262  11.1850  10.6256
   0.1222857755   0.1222857755  -2.68901  3.51899   12.1876  13.3509  11.1283  10.5748
   0.1243117551   0.1243117551  -2.66961  3.52082   12.1252  13.2745  11.0711  10.5249
   0.1263377347   0.1263377347  -2.65053  3.52262   12.0625  13.1978  11.0138  10.4758
   0.1283637143   0.1283637143  -2.63174  3.52439   12.0000  13.1212  10.9566  10.4276
   0.1303896939   0.1303896939  -2.61325  3.52614   11.9379  13.0454  10.8999  10.3801
   0.1324156735   0.1324156735  -2.59504  3.52785   11.8768  12.9711  10.8439  10.3334
   0.1344416531   0.1344416531  -2.57711  3.52954   11.8168  12.8987  10.7890  10.2875
   0.1364676327   0.1364676327  -2.55944  3.53121   11.7583  12.8286  10.7354  10.2424
   0.1384936123   0.1384936123  -2.54203  3.53285   11.7016  12.7614  10.6833  10.1979
   0.1405195919   0.1405195919  -2.52488  3.53447   11.6466  12.6970  10.6327  10.1542
   0.1425455715   0.1425455715  -2.50796  3.53606   11.5933  12.6350  10.5836  10.1112
   0.1445715511   0.1445715511  -2.49129  3.53763   11.5415  12.5753  10.5358  10.0689
   0.1465975307   0.1465975307  -2.47485  3.53918   11.4911  12.5178  10.4894  10.0272
   0.1486235103   0.1486235103  -2.45863  3.54071   11.4422  12.4620  10.4442   9.9862
   0.1506494899   0.1506494899  -2.44345  3.54204   11.3975  12.4116  10.4026   9.9479
   0.1526754695   0.1526754695  -2.43021  3.54299   11.3599  12.3700  10.3673   9.9146
   0.1547014491   0.1547014491  -2.41715  3.54392   11.3230  12.3293  10.3326   9.8818
   0.1567274287   0.1567274287  -2.40425  3.54485   11.2868  12.2893  10.2985   9.8494
   0.1587534083   0.1587534083  -2.39151  3.54576   11.2512  12.2500  10.2651   9.8175
   0.1607793878   0.1607793878  -2.37893  3.54666   11.2162  12.2114  10.2322   9.7859
   0.1628053674   0.1628053674  -2.36650  3.54754   11.1819  12.1735  10.1999   9.7548
   0.1648313470   0.1648313470  -2.35423  3.54842   11.1480  12.1361  10.1680   9.7241
   0.1668573266   0.1668573266  -2.34203  3.54929   11.1145  12.0991  10.1365   9.6936
   0.1688833062   0.1688833062  -2.32990  3.55015   11.0813  12.0625  10.1052   9.6633
   0.1709092858   0.1709092858  -2.31792  3.55100   11.0485  12.0263  10.0744   9.6333
   0.1729352654   0.1729352654  -2.30606  3.55184   11.0162  11.9906  10.0440   9.6037
   0.1749612450   0.1749612450  -2.29432  3.55268   10.9842  11.9553  10.0139   9.5744
   0.1769872246   0.1769872246  -2.28272  3.55350   10.9526  11.9205   9.9842   9.5454
   0.1790132042   0.1790132042  -2.27123  3.55431   10.9213  11.8859   9.9547   9.5167
   0.1810391838   0.1810391838  -2.26025  3.55504   10.8916  11.8533   9.9266   9.4893
   0.1830651634   0.1830651634  -2.24975  3.55568   10.8633  11.8224   9.8998   9.4632
   0.1850911430   0.1850911430  -2.23936  3.55631   10.8353  11.7918   9.8733   9.4372
   0.1871171226   0.1871171226  -2.22907  3.55694   10.8075  11.7615   9.8469   9.4116
   0.1891431022   0.1891431022  -2.21888  3.55756   10.7800  11.7315   9.8209   9.3862
   0.1911690818   0.1911690818  -2.20879  3.55818   10.7527  11.7017   9.7950   9.3610
   0.1931950614   0.1931950614  -2.19880  3.55879   10.7257  11.6722   9.7694   9.3361
   0.1952210410   0.1952210410  -2.18891  3.55939   10.6989  11.6429   9.7440   9.3115
   0.1972470206   0.1972470206  -2.17911  3.55999   10.6723  11.6139   9.7188   9.2871
   0.1992730002   0.1992730002  -2.16940  3.56057   10.6460  11.5852   9.6939   9.2629
   0.2012989797   0.2012989797  -2.16006  3.56112   10.6207  11.5577   9.6699   9.2396
   0.2033249593   0.2033249593  -2.15097  3.56164   10.5962  11.5310   9.6466   9.2169
   0.2053509389   0.2053509389  -2.14196  3.56215   10.5718  11.5045   9.6235   9.1945
   0.2073769185   0.2073769185  -2.13303  3.56266   10.5477  11.4783   9.6005   9.1722
   0.2094028981   0.2094028981  -2.12418  3.56316   10.5238  11.4523   9.5778   9.1502
   0.2114288777   0.2114288777  -2.11542  3.56365   10.5001  11.4266   9.5553   9.1284
   0.2134548573   0.2134548573  -2.10673  3.56415   10.4766  11.4010   9.5330   9.1067
   0.2154808369   0.2154808369  -2.09812  3.56463   10.4533  11.3757   9.5109   9.0853
   0.2175068165   0.2175068165  -2.08959  3.56512   10.4303  11.3506   9.4889   9.0640
   0.2195327961   0.2195327961  -2.08113  3.56559   10.4074  11.3258   9.4672   9.0430
   0.2215587757   0.2215587757  -2.07275  3.56607   10.3847  11.3011   9.4457   9.0221
