# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3-NEW
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -1.300   Z = 0.0007870   Y = 0.24801591   Age (Myr) = 1000.000
#===============================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP    G_RVS
#===============================================================
   0.4523783233   0.4523779410  -1.32371  3.62887    8.2952   8.9523   7.5157   7.1710
   0.4577995283   0.4577982512  -1.30432  3.63094    8.2401   8.8895   7.4661   7.1237
   0.4632207333   0.4632185290  -1.28515  3.63299    8.1857   8.8276   7.4171   7.0772
   0.4686419382   0.4686387749  -1.26620  3.63503    8.1321   8.7665   7.3688   7.0312
   0.4740631432   0.4740589893  -1.24746  3.63704    8.0791   8.7062   7.3211   6.9859
   0.4794843482   0.4794791327  -1.22891  3.63904    8.0266   8.6465   7.2739   6.9412
   0.4849055532   0.4848992034  -1.21055  3.64101    7.9746   8.5873   7.2272   6.8969
   0.4903267581   0.4903192212  -1.19238  3.64297    7.9231   8.5285   7.1810   6.8531
   0.4957479631   0.4957391867  -1.17441  3.64491    7.8720   8.4700   7.1353   6.8097
   0.5011691681   0.5011594749  -1.15607  3.64693    7.8196   8.4098   7.0885   6.7655
   0.5065903730   0.5065814898  -1.13604  3.64927    7.7620   8.3432   7.0374   6.7172
   0.5120115780   0.5120035736  -1.11622  3.65159    7.7051   8.2777   6.9869   6.6695
   0.5174327830   0.5174257250  -1.09661  3.65389    7.6491   8.2136   6.9371   6.6223
   0.5228539880   0.5228479161  -1.07719  3.65617    7.5940   8.1510   6.8879   6.5755
   0.5282751929   0.5282701822  -1.05796  3.65843    7.5396   8.0897   6.8393   6.5291
   0.5336963979   0.5336925249  -1.03893  3.66067    7.4859   8.0292   6.7912   6.4833
   0.5391176029   0.5391149422  -1.02008  3.66289    7.4326   7.9691   6.7435   6.4378
   0.5445388079   0.5445374336  -1.00140  3.66509    7.3796   7.9091   6.6962   6.3927
   0.5499600128   0.5499600025  -0.98291  3.66727    7.3270   7.8495   6.6493   6.3481
   0.5553812178   0.5553794638  -0.96284  3.67043    7.2676   7.7799   6.5980   6.3000
   0.5608024228   0.5607987974  -0.94294  3.67358    7.2089   7.7115   6.5473   6.2525
   0.5662236278   0.5662180252  -0.92322  3.67670    7.1512   7.6446   6.4972   6.2054
   0.5716448327   0.5716371495  -0.90369  3.67979    7.0945   7.5794   6.4479   6.1588
   0.5770660377   0.5770562226  -0.88432  3.68285    7.0389   7.5157   6.3992   6.1127
   0.5824872427   0.5824752606  -0.86511  3.68589    6.9841   7.4532   6.3511   6.0671
   0.5879084477   0.5878942336  -0.84608  3.68890    6.9297   7.3913   6.3034   6.0218
   0.5933296526   0.5933130919  -0.82722  3.69189    6.8754   7.3292   6.2559   5.9768
   0.5987508576   0.5987318182  -0.80852  3.69485    6.8215   7.2675   6.2087   5.9321
   0.6041720626   0.6041519098  -0.78983  3.69788    6.7679   7.2061   6.1620   5.8878
   0.6095932676   0.6095723716  -0.77124  3.70091    6.7158   7.1468   6.1165   5.8446
   0.6150144725   0.6149928019  -0.75281  3.70392    6.6653   7.0896   6.0721   5.8025
   0.6204356775   0.6204132215  -0.73454  3.70690    6.6156   7.0334   6.0285   5.7609
   0.6258568825   0.6258336126  -0.71636  3.70987    6.5658   6.9770   5.9849   5.7194
   0.6312780874   0.6312540236  -0.69833  3.71283    6.5161   6.9205   5.9414   5.6781
   0.6366992924   0.6366743874  -0.68044  3.71575    6.4669   6.8646   5.8985   5.6373
   0.6421204974   0.6420946992  -0.66270  3.71866    6.4186   6.8098   5.8564   5.5973
   0.6475417024   0.6475149930  -0.64511  3.72154    6.3712   6.7561   5.8151   5.5580
   0.6529629073   0.6529353442  -0.62770  3.72430    6.3250   6.7039   5.7747   5.5194
   0.6583841123   0.6583557796  -0.61047  3.72697    6.2797   6.6530   5.7350   5.4814
   0.6638053173   0.6637761278  -0.59336  3.72961    6.2350   6.6026   5.6958   5.4439
   0.6692265223   0.6691964735  -0.57639  3.73223    6.1905   6.5525   5.6568   5.4067
   0.6746477272   0.6746168449  -0.55954  3.73484    6.1462   6.5025   5.6180   5.3696
   0.6800689322   0.6800372510  -0.54282  3.73742    6.1022   6.4528   5.5794   5.3328
   0.6854901372   0.6854577507  -0.52620  3.73998    6.0588   6.4039   5.5416   5.2966
   0.6909113422   0.6908782526  -0.50971  3.74253    6.0166   6.3565   5.5047   5.2613
   0.6963325471   0.6962985299  -0.49332  3.74506    5.9752   6.3101   5.4686   5.2267
   0.7017537521   0.7017186450  -0.47706  3.74751    5.9344   6.2644   5.4328   5.1924
   0.7071749571   0.7071383587  -0.46091  3.74984    5.8937   6.2190   5.3970   5.1580
   0.7125961621   0.7125580899  -0.44489  3.75213    5.8532   6.1738   5.3614   5.1238
   0.7180173670   0.7179781499  -0.42901  3.75441    5.8130   6.1290   5.3261   5.0899
   0.7234385720   0.7233980365  -0.41326  3.75666    5.7733   6.0847   5.2912   5.0564
   0.7288597770   0.7288177098  -0.39764  3.75889    5.7341   6.0410   5.2567   5.0233
   0.7342809820   0.7342373915  -0.38211  3.76110    5.6954   5.9979   5.2226   4.9905
   0.7397021869   0.7396570696  -0.36668  3.76330    5.6570   5.9554   5.1888   4.9581
   0.7451233919   0.7450766518  -0.35129  3.76549    5.6189   5.9131   5.1553   4.9259
   0.7505445969   0.7504961964  -0.33598  3.76767    5.5811   5.8713   5.1221   4.8940
   0.7559658019   0.7559158051  -0.32086  3.76967    5.5438   5.8302   5.0890   4.8621
   0.7613870068   0.7613353587  -0.30586  3.77166    5.5067   5.7894   5.0561   4.8305
   0.7668082118   0.7667548276  -0.29097  3.77363    5.4698   5.7487   5.0234   4.7990
   0.7722294168   0.7721742592  -0.27618  3.77557    5.4332   5.7083   4.9910   4.7678
   0.7776506217   0.7775936819  -0.26147  3.77751    5.3969   5.6684   4.9587   4.7368
   0.7830718267   0.7830131281  -0.24685  3.77943    5.3609   5.6290   4.9267   4.7060
