# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -0.001   Z = 0.0149205   Y = 0.26948852   Age (Myr) = 14.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP    G_RVS
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -1.96420  3.48929   10.8310  12.3644   9.6045   8.9948
   0.1453409061   0.1453409061  -1.74272  3.50522   10.1608  11.5705   8.9796   8.3831
   0.1906818121   0.1906818121  -1.57942  3.51714    9.6724  10.9971   8.5254   7.9409
   0.2360227182   0.2360227182  -1.45302  3.52589    9.2852  10.5307   8.1656   7.5963
   0.2813636242   0.2813636242  -1.34947  3.53312    8.9677  10.1494   7.8714   7.3161
   0.3267045303   0.3267045303  -1.26083  3.53985    8.7010   9.8373   7.6257   7.0814
   0.3720454363   0.3720454363  -1.18254  3.54639    8.4674   9.5676   7.4119   6.8774
   0.4173863424   0.4173863424  -1.11249  3.55264    8.2582   9.3268   7.2215   6.6965
   0.4627272484   0.4627272484  -1.04885  3.55868    8.0662   9.1044   7.0479   6.5339
   0.5080681545   0.5080681545  -0.98941  3.56481    7.8833   8.8896   6.8839   6.3835
   0.5534090606   0.5534089674  -0.93340  3.57088    7.7088   8.6831   6.7284   6.2432
   0.5987499666   0.5987486342  -0.87626  3.57901    7.5193   8.4504   6.5646   6.1012
   0.6440908727   0.6440895061  -0.82441  3.58478    7.3569   8.2574   6.4205   5.9734
   0.6894317787   0.6894283353  -0.76821  3.59484    7.1567   8.0014   6.2533   5.8355
   0.7347726848   0.7347686848  -0.71420  3.60222    6.9788   7.7836   6.0996   5.7018
   0.7801135908   0.7801095908  -0.65971  3.60901    6.8065   7.5803   5.9480   5.5658
   0.8254544969   0.8254502423  -0.60077  3.61706    6.6162   7.3541   5.7826   5.4185
   0.8707954029   0.8707906950  -0.53691  3.62621    6.4071   7.1032   5.6021   5.2584
   0.9161363090   0.9161313090  -0.46538  3.63721    6.1736   6.8254   5.4003   5.0751
   0.9614772151   0.9614722151  -0.38365  3.65106    5.9009   6.4991   5.1670   4.8616
   1.0068181211   1.0068129338  -0.29524  3.66655    5.6192   6.1679   4.9247   4.6353
   1.0521590272   1.0521532451  -0.20207  3.68282    5.3284   5.8285   4.6740   4.4006
   1.0974999332   1.0974939401  -0.10323  3.69994    5.0308   5.4855   4.4161   4.1585
   1.1428408393   1.1428344109   0.00369  3.71691    4.7267   5.1422   4.1485   3.9058
   1.1881817453   1.1881748635   0.11890  3.73438    4.4090   4.7860   3.8681   3.6406
   1.2335226514   1.2335153162   0.25059  3.75186    4.0584   4.3984   3.5552   3.3425
   1.2788635574   1.2788557688   0.39871  3.77007    3.6729   3.9756   3.2099   3.0117
   1.3242044635   1.3241957497   0.54863  3.78950    3.2885   3.5530   2.8694   2.6861
   1.3695453696   1.3695356421   0.65633  3.80992    3.0156   3.2422   2.6435   2.4751
   1.4148862756   1.4148754124   0.67041  3.82437    2.9827   3.1846   2.6433   2.4853
   1.4602271817   1.4602154698   0.65198  3.83284    3.0319   3.2202   2.7113   2.5594
   1.5055680877   1.5055553987   0.65553  3.83718    3.0250   3.2065   2.7141   2.5653
   1.5509089938   1.5508950248   0.70925  3.84483    2.8928   3.0615   2.6002   2.4578
   1.5962498998   1.5962348024   0.78621  3.85811    2.7057   2.8534   2.4452   2.3148
   1.6415908059   1.6415743545   0.87148  3.87950    2.5054   2.6208   2.2973   2.1874
   1.6869317119   1.6869138673   0.96235  3.90735    2.3061   2.3814   2.1677   2.0850
   1.7322726180   1.7322531194   1.01128  3.92766    2.2178   2.2660   2.1299   2.0642
   1.7776135241   1.7775926324   1.03602  3.93812    2.1808   2.2169   2.1156   2.0567
   1.8229544301   1.8229318394   1.07341  3.94686    2.1107   2.1373   2.0633   2.0101
   1.8682953362   1.8682711158   1.11660  3.95580    2.0292   2.0470   1.9985   1.9509
   1.9136362422   1.9136102891   1.15874  3.96444    1.9541   1.9645   1.9375   1.8948
   1.9589771483   1.9589494566   1.19941  3.97261    1.8839   1.8879   1.8794   1.8408
   2.0043180543   2.0042901611   1.23908  3.98053    1.8171   1.8154   1.8237   1.7884
   2.0496589604   2.0496438735   1.27752  3.98802    1.7533   1.7466   1.7694   1.7367
   2.0949998664   2.0949983276   1.31510  3.99532    1.6920   1.6808   1.7167   1.6864
   2.1403407725   2.1403407725   1.35161  4.00227    1.6325   1.6171   1.6652   1.6371
   2.1856816786   2.1856816786   1.38731  4.00904    1.5750   1.5560   1.6145   1.5883
   2.2310225846   2.2310225846   1.42208  4.01556    1.5189   1.4966   1.5648   1.5404
   2.2763634907   2.2763634907   1.45620  4.02185    1.4638   1.4384   1.5156   1.4929
   2.3217043967   2.3217043967   1.48936  4.02799    1.4108   1.3825   1.4681   1.4467
   2.3670453028   2.3670453028   1.52161  4.03396    1.3597   1.3286   1.4220   1.4018
   2.4123862088   2.4123862088   1.55329  4.03980    1.3095   1.2759   1.3764   1.3574
   2.4577271149   2.4577271149   1.58442  4.04546    1.2600   1.2240   1.3312   1.3130
   2.5030680210   2.5030680210   1.61507  4.05099    1.2112   1.1730   1.2864   1.2689
   2.5484089270   2.5484089270   1.64524  4.05631    1.1627   1.1223   1.2415   1.2249
   2.5937498331   2.5937498331   1.67489  4.06152    1.1150   1.0728   1.1975   1.1817
   2.6390907391   2.6390903582   1.70390  4.06656    1.0683   1.0243   1.1542   1.1392
   2.6844316452   2.6844306690   1.73241  4.07147    1.0224   0.9766   1.1115   1.0974
   2.7297725512   2.7297713675   1.76045  4.07631    0.9774   0.9299   1.0695   1.0562
   2.7751134573   2.7751124443   1.78803  4.08105    0.9333   0.8840   1.0282   1.0157
   2.8204543633   2.8204510645   1.81510  4.08566    0.8897   0.8389   0.9875   0.9757
   2.8657952694   2.8657881963   1.84164  4.09012    0.8469   0.7946   0.9474   0.9363
   2.9111361755   2.9111252910   1.86776  4.09451    0.8049   0.7512   0.9080   0.8976
   2.9564770815   2.9564622368   1.89350  4.09882    0.7636   0.7084   0.8692   0.8595
   3.0018179876   3.0017988464   1.91886  4.10305    0.7229   0.6664   0.8310   0.8219
   3.0471588936   3.0471357710   1.94359  4.10713    0.6832   0.6253   0.7936   0.7852
   3.0924997997   3.0924726676   1.96795  4.11116    0.6441   0.5850   0.7568   0.7491
   3.1378407057   3.1378091236   1.99201  4.11511    0.6056   0.5452   0.7205   0.7134
   3.1831816118   3.1831455497   2.01573  4.11901    0.5677   0.5060   0.6848   0.6783
   3.2285225178   3.2284819469   2.03911  4.12285    0.5305   0.4676   0.6497   0.6438
   3.2738634239   3.2738178713   2.06221  4.12662    0.4936   0.4296   0.6150   0.6097
   3.3192043300   3.3191537145   2.08500  4.13035    0.4574   0.3922   0.5808   0.5761
   3.3645452360   3.3644894603   2.10749  4.13402    0.4218   0.3554   0.5472   0.5431
   3.4098861421   3.4098246956   2.12972  4.13763    0.3865   0.3191   0.5140   0.5104
   3.4552270481   3.4551598818   2.15165  4.14120    0.3518   0.2833   0.4812   0.4782
   3.5005679542   3.5004948728   2.17332  4.14471    0.3176   0.2479   0.4490   0.4465
   3.5459088602   3.5458305745   2.19442  4.14812    0.2842   0.2135   0.4175   0.4155
   3.5912497663   3.5911662592   2.21525  4.15148    0.2513   0.1796   0.3864   0.3849
   3.6365906723   3.6365015646   2.23586  4.15479    0.2187   0.1461   0.3557   0.3547
   3.6819315784   3.6818368138   2.25621  4.15807    0.1866   0.1130   0.3255   0.3249
   3.7272724845   3.7271718092   2.27635  4.16130    0.1549   0.0803   0.2956   0.2955
   3.7726133905   3.7725065747   2.29625  4.16449    0.1236   0.0480   0.2660   0.2663
   3.8179542966   3.8178411851   2.31593  4.16764    0.0926   0.0160   0.2368   0.2375
   3.8632952026   3.8631753672   2.33541  4.17075    0.0619  -0.0155   0.2078   0.2091
   3.9086361087   3.9085094793   2.35467  4.17383    0.0317  -0.0467   0.1793   0.1809
   3.9539770147   3.9538431814   2.37373  4.17686    0.0017  -0.0776   0.1510   0.1531
   3.9993179208   3.9991768283   2.39259  4.17986   -0.0280  -0.1082   0.1230   0.1255
   4.0446588268   4.0445231809   2.41102  4.18273   -0.0573  -0.1384   0.0952   0.0982
   4.0899997329   4.0898711823   2.42926  4.18556   -0.0863  -0.1682   0.0678   0.0712
   4.1353406390   4.1352203336   2.44731  4.18836   -0.1151  -0.1978   0.0406   0.0444
   4.1806815450   4.1805709290   2.46518  4.19113   -0.1435  -0.2270   0.0138   0.0180
   4.2260224511   4.2259229292   2.48288  4.19387   -0.1717  -0.2560  -0.0129  -0.0083
   4.2713633571   4.2712764458   2.50041  4.19659   -0.1995  -0.2847  -0.0392  -0.0342
   4.3167042632   4.3166315188   2.51776  4.19927   -0.2271  -0.3131  -0.0653  -0.0599
   4.3620451692   4.3619880523   2.53497  4.20193   -0.2545  -0.3413  -0.0912  -0.0854
   4.4073860753   4.4073461255   2.55200  4.20456   -0.2816  -0.3691  -0.1168  -0.1106
   4.4527269813   4.4527057409   2.56888  4.20716   -0.3085  -0.3968  -0.1423  -0.1357
