# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -0.001   Z = 0.0149205   Y = 0.26948852   Age (Myr) = 1000.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP    G_RVS
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -2.91577  3.45106   13.6166  15.7934  12.2684  11.7305
   0.1065584527   0.1065584527  -2.86129  3.45776   13.4034  15.4648  12.0770  11.5208
   0.1131169055   0.1131169055  -2.82656  3.46480   13.2371  15.1873  11.9335  11.3607
   0.1196753582   0.1196753582  -2.81734  3.47250   13.1303  14.9682  11.8515  11.2639
   0.1262338110   0.1262338110  -2.76278  3.47811   12.9349  14.6910  11.6755  11.0825
   0.1327922637   0.1327922637  -2.71160  3.48342   12.7535  14.4370  11.5125  10.9163
   0.1393507165   0.1393507165  -2.66235  3.48847   12.5811  14.1995  11.3576  10.7603
   0.1459091692   0.1459091692  -2.61143  3.49343   12.4062  13.9639  11.1997  10.6036
   0.1524676220   0.1524676220  -2.56480  3.49752   12.2508  13.7609  11.0583  10.4645
   0.1590260747   0.1590260747  -2.52549  3.50034   12.1267  13.6056  10.9435  10.3519
   0.1655845275   0.1655845275  -2.48790  3.50304   12.0088  13.4595  10.8345  10.2450
   0.1721429802   0.1721429802  -2.45169  3.50564   11.8964  13.3216  10.7305  10.1429
   0.1787014330   0.1787014330  -2.41677  3.50815   11.7891  13.1913  10.6312  10.0452
   0.1852598857   0.1852598857  -2.38487  3.51025   11.6930  13.0763  10.5416   9.9571
   0.1918183384   0.1918183384  -2.35452  3.51220   11.6018  12.9677  10.4566   9.8737
   0.1983767912   0.1983767912  -2.32514  3.51409   11.5131  12.8619  10.3740   9.7930
   0.2049352439   0.2049352439  -2.29745  3.51579   11.4296  12.7624  10.2961   9.7173
   0.2114936967   0.2114936967  -2.27092  3.51739   11.3491  12.6661  10.2209   9.6447
   0.2180521494   0.2180521494  -2.24515  3.51894   11.2700  12.5708  10.1472   9.5740
   0.2246106022   0.2246106022  -2.22011  3.52045   11.1923  12.4766  10.0749   9.5052
   0.2311690549   0.2311690549  -2.19576  3.52191   11.1161  12.3837  10.0040   9.4383
   0.2377275077   0.2377275077  -2.17206  3.52333   11.0416  12.2926   9.9347   9.3731
   0.2442859604   0.2442859604  -2.14898  3.52471   10.9689  12.2037   9.8670   9.3097
   0.2508444132   0.2508444132  -2.12661  3.52604   10.8985  12.1178   9.8014   9.2484
   0.2574028659   0.2574028659  -2.10567  3.52724   10.8333  12.0389   9.7405   9.1914
   0.2639613187   0.2639613187  -2.08524  3.52841   10.7699  11.9625   9.6813   9.1359
   0.2705197714   0.2705197714  -2.06529  3.52956   10.7085  11.8888   9.6238   9.0820
   0.2770782242   0.2770782242  -2.04581  3.53067   10.6489  11.8179   9.5680   9.0295
   0.2836366769   0.2836366769  -2.02676  3.53176   10.5911  11.7497   9.5139   8.9785
   0.2901951296   0.2901951296  -2.00813  3.53282   10.5353  11.6844   9.4614   8.9288
   0.2967535824   0.2967535824  -1.98990  3.53386   10.4811  11.6216   9.4105   8.8804
   0.3033120351   0.3033120351  -1.97108  3.53494   10.4257  11.5579   9.3583   8.8306
   0.3098704879   0.3098704879  -1.95164  3.53606   10.3690  11.4933   9.3049   8.7795
   0.3164289406   0.3164289406  -1.93253  3.53714   10.3138  11.4309   9.2527   8.7294
   0.3229873934   0.3229873934  -1.91371  3.53820   10.2599  11.3705   9.2018   8.6804
   0.3295458461   0.3295458461  -1.89518  3.53923   10.2073  11.3119   9.1521   8.6322
   0.3361042989   0.3361042989  -1.87694  3.54024   10.1559  11.2549   9.1033   8.5849
   0.3426627516   0.3426627516  -1.85896  3.54122   10.1056  11.1995   9.0556   8.5384
   0.3492212044   0.3492212044  -1.84123  3.54218   10.0562  11.1454   9.0087   8.4927
   0.3557796571   0.3557796571  -1.82245  3.54338   10.0031  11.0864   8.9587   8.4440
   0.3623381099   0.3623381099  -1.80385  3.54458    9.9506  11.0284   8.9094   8.3958
   0.3688965626   0.3688965626  -1.78561  3.54574    9.8995  10.9720   8.8613   8.3487
   0.3754550153   0.3754550153  -1.76772  3.54686    9.8497  10.9172   8.8143   8.3026
   0.3820134681   0.3820134681  -1.75036  3.54793    9.8014  10.8643   8.7688   8.2580
   0.3885719208   0.3885719208  -1.73390  3.54900    9.7555  10.8138   8.7256   8.2156
   0.3951303736   0.3951303736  -1.71697  3.55003    9.7087  10.7626   8.6815   8.1722
   0.4016888263   0.4016888263  -1.69924  3.55111    9.6598  10.7092   8.6353   8.1269
   0.4082472791   0.4082472791  -1.68070  3.55243    9.6079  10.6517   8.5867   8.0793
   0.4148057318   0.4148057318  -1.66248  3.55372    9.5568  10.5953   8.5390   8.0327
   0.4213641846   0.4213641846  -1.64459  3.55499    9.5067  10.5398   8.4921   7.9870
   0.4279226373   0.4279226373  -1.62699  3.55624    9.4573  10.4851   8.4460   7.9422
   0.4344810901   0.4344810901  -1.60970  3.55746    9.4087  10.4312   8.4006   7.8983
   0.4410395428   0.4410395428  -1.59269  3.55867    9.3608  10.3781   8.3559   7.8553
   0.4475979956   0.4475979956  -1.57597  3.55987    9.3136  10.3256   8.3119   7.8130
   0.4541564483   0.4541564483  -1.55772  3.56132    9.2613  10.2669   8.2635   7.7670
   0.4607149010   0.4607149010  -1.53871  3.56290    9.2065  10.2048   8.2129   7.7192
   0.4672733538   0.4672733538  -1.51999  3.56446    9.1523  10.1435   8.1630   7.6723
   0.4738318065   0.4738318065  -1.50153  3.56600    9.0990  10.0831   8.1138   7.6261
   0.4803902593   0.4803902593  -1.48334  3.56752    9.0463  10.0234   8.0653   7.5808
   0.4869487120   0.4869487120  -1.46541  3.56901    8.9944   9.9645   8.0175   7.5362
   0.4935071648   0.4935071648  -1.44773  3.57049    8.9432   9.9064   7.9704   7.4923
   0.5000656175   0.5000656175  -1.43026  3.57195    8.8925   9.8489   7.9238   7.4490
   0.5066240703   0.5066240703  -1.40999  3.57404    8.8317   9.7783   7.8689   7.3990
   0.5131825230   0.5131825230  -1.38994  3.57612    8.7715   9.7083   7.8146   7.3497
   0.5197409758   0.5197409758  -1.37015  3.57816    8.7121   9.6392   7.7609   7.3012
   0.5262994285   0.5262994285  -1.35063  3.58018    8.6535   9.5710   7.7081   7.2535
   0.5328578813   0.5328578813  -1.33136  3.58217    8.5956   9.5036   7.6559   7.2065
   0.5394163340   0.5394163340  -1.31234  3.58412    8.5385   9.4371   7.6043   7.1603
