# Isochrone from from BaSTI-IAC database
# Alpha-enhanced=+0.4 models & transformations  -  GAIA-DR3-NEW
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -2.199   Z = 0.0000996   Y = 0.24711700   Age (Myr) = 10000.000
#===============================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP    G_RVS
#===============================================================
   0.1000000000   0.1000000000  -2.90969  3.51685   12.5630  13.6522  11.5413  11.0097
   0.1019435521   0.1019435521  -2.87651  3.52098   12.4693  13.5422  11.4542  10.9413
   0.1038871041   0.1038871041  -2.84395  3.52503   12.3734  13.4309  11.3641  10.8768
   0.1058306562   0.1058306562  -2.81196  3.52901   12.2769  13.3198  11.2733  10.8133
   0.1077742082   0.1077742082  -2.78054  3.53292   12.1816  13.2106  11.1840  10.7480
   0.1097177603   0.1097177603  -2.74966  3.53676   12.0887  13.1043  11.0977  10.6799
   0.1116613123   0.1116613123  -2.71931  3.54054   11.9988  13.0010  11.0150  10.6097
   0.1136048644   0.1136048644  -2.68946  3.54426   11.9124  12.9009  10.9361  10.5386
   0.1155484165   0.1155484165  -2.66011  3.54792   11.8296  12.8039  10.8612  10.4674
   0.1174919685   0.1174919685  -2.63123  3.55151   11.7495  12.7093  10.7893  10.3966
   0.1194355206   0.1194355206  -2.60281  3.55505   11.6712  12.6165  10.7192  10.3267
   0.1213790726   0.1213790726  -2.58101  3.55729   11.6120  12.5481  10.6653  10.2730
   0.1233226247   0.1233226247  -2.56206  3.55899   11.5610  12.4900  10.6182  10.2264
   0.1252661768   0.1252661768  -2.54340  3.56066   11.5105  12.4326  10.5717  10.1805
   0.1272097288   0.1272097288  -2.52502  3.56230   11.4608  12.3761  10.5259  10.1353
   0.1291532809   0.1291532809  -2.50691  3.56392   11.4117  12.3202  10.4806  10.0908
   0.1310968329   0.1310968329  -2.48900  3.56553   11.3630  12.2650  10.4358  10.0468
   0.1330403850   0.1330403850  -2.47134  3.56710   11.3151  12.2104  10.3915  10.0034
   0.1349839370   0.1349839370  -2.45391  3.56866   11.2677  12.1566  10.3479   9.9606
   0.1369274891   0.1369274891  -2.43673  3.57019   11.2211  12.1035  10.3050   9.9184
   0.1388710412   0.1388710412  -2.41977  3.57171   11.1750  12.0511  10.2626   9.8767
   0.1408145932   0.1408145932  -2.40304  3.57320   11.1296  11.9993  10.2207   9.8355
   0.1427581453   0.1427581453  -2.38652  3.57467   11.0848  11.9482  10.1795   9.7949
   0.1447016973   0.1447016973  -2.37021  3.57613   11.0405  11.8977  10.1387   9.7548
   0.1466452494   0.1466452494  -2.35411  3.57756   10.9967  11.8479  10.0985   9.7151
   0.1485888014   0.1485888014  -2.33821  3.57898   10.9535  11.7986  10.0587   9.6760
   0.1505323535   0.1505323535  -2.32323  3.58023   10.9130  11.7528  10.0212   9.6391
   0.1524759056   0.1524759056  -2.31033  3.58105   10.8787  11.7149   9.9890   9.6072
   0.1544194576   0.1544194576  -2.29758  3.58187   10.8448  11.6775   9.9572   9.5757
   0.1563630097   0.1563630097  -2.28498  3.58268   10.8114  11.6406   9.9257   9.5446
   0.1583065617   0.1583065617  -2.27253  3.58348   10.7783  11.6040   9.8946   9.5139
   0.1602501138   0.1602501138  -2.26022  3.58426   10.7455  11.5679   9.8638   9.4835
   0.1621936659   0.1621936659  -2.24805  3.58504   10.7132  11.5322   9.8334   9.4534
   0.1641372179   0.1641372179  -2.23602  3.58581   10.6812  11.4968   9.8033   9.4237
   0.1660807700   0.1660807700  -2.22412  3.58657   10.6495  11.4618   9.7735   9.3943
   0.1680243220   0.1680243220  -2.21235  3.58732   10.6182  11.4272   9.7441   9.3652
   0.1699678741   0.1699678741  -2.20071  3.58807   10.5873  11.3930   9.7150   9.3365
   0.1719114261   0.1719114261  -2.18919  3.58880   10.5566  11.3591   9.6862   9.3080
   0.1738549782   0.1738549782  -2.17780  3.58953   10.5263  11.3256   9.6577   9.2799
   0.1757985303   0.1757985303  -2.16652  3.59024   10.4963  11.2924   9.6294   9.2521
   0.1777420823   0.1777420823  -2.15537  3.59095   10.4666  11.2595   9.6015   9.2245
   0.1796856344   0.1796856344  -2.14432  3.59166   10.4373  11.2270   9.5739   9.1972
   0.1816291864   0.1816291864  -2.13396  3.59225   10.4099  11.1969   9.5480   9.1716
   0.1835727385   0.1835727385  -2.12382  3.59282   10.3831  11.1675   9.5226   9.1466
   0.1855162906   0.1855162906  -2.11377  3.59338   10.3566  11.1384   9.4975   9.1217
   0.1874598426   0.1874598426  -2.10382  3.59393   10.3303  11.1096   9.4726   9.0971
   0.1894033947   0.1894033947  -2.09397  3.59448   10.3043  11.0811   9.4479   9.0728
   0.1913469467   0.1913469467  -2.08420  3.59502   10.2785  11.0528   9.4235   9.0486
   0.1932904988   0.1932904988  -2.07453  3.59556   10.2530  11.0248   9.3993   9.0247
   0.1952340508   0.1952340508  -2.06495  3.59609   10.2277  10.9971   9.3753   9.0010
   0.1971776029   0.1971776029  -2.05546  3.59662   10.2026  10.9696   9.3516   8.9775
   0.1991211550   0.1991211550  -2.04605  3.59714   10.1777  10.9424   9.3280   8.9542
   0.2010647070   0.2010647070  -2.03701  3.59762   10.1538  10.9163   9.3053   8.9319
   0.2030082591   0.2030082591  -2.02828  3.59808   10.1308  10.8912   9.2834   8.9102
   0.2049518111   0.2049518111  -2.01963  3.59853   10.1080  10.8664   9.2618   8.8888
   0.2068953632   0.2068953632  -2.01107  3.59898   10.0854  10.8418   9.2403   8.8676
   0.2088389152   0.2088389152  -2.00258  3.59942   10.0630  10.8175   9.2190   8.8465
   0.2107824673   0.2107824673  -1.99417  3.59986   10.0408  10.7933   9.1979   8.8257
   0.2127260194   0.2127260194  -1.98584  3.60029   10.0188  10.7694   9.1770   8.8050
   0.2146695714   0.2146695714  -1.97759  3.60072    9.9970  10.7458   9.1562   8.7846
   0.2166131235   0.2166131235  -1.96941  3.60114    9.9754  10.7223   9.1357   8.7643
   0.2185566755   0.2185566755  -1.96130  3.60156    9.9539  10.6991   9.1153   8.7442
   0.2205002276   0.2205002276  -1.95327  3.60198    9.9327  10.6761   9.0951   8.7242
   0.2224437797   0.2224437797  -1.94531  3.60239    9.9116  10.6533   9.0750   8.7044
   0.2243873317   0.2243873317  -1.93733  3.60281    9.8905  10.6305   9.0549   8.6846
   0.2263308838   0.2263308838  -1.92939  3.60321    9.8695  10.6078   9.0350   8.6649
   0.2282744358   0.2282744358  -1.92153  3.60362    9.8486  10.5853   9.0151   8.6453
   0.2302179879   0.2302179879  -1.91374  3.60402    9.8280  10.5631   8.9955   8.6260
