# Isochrone from from BaSTI-IAC database
# Alpha-enhanced=+0.4 models & transformations  -  GAIA-DR3-NEW
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -0.998   Z = 0.0015720   Y = 0.24904000   Age (Myr) = 13000.000
#===============================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP    G_RVS
#===============================================================
   0.1000000000   0.1000000000  -3.01996  3.47579   13.2509  14.7412  12.0811  11.4662
   0.1018445992   0.1018445992  -2.98907  3.47990   13.1494  14.6027  11.9904  11.3793
   0.1036891984   0.1036891984  -2.95873  3.48394   13.0503  14.4687  11.9019  11.2950
   0.1055337976   0.1055337976  -2.92892  3.48791   12.9533  14.3386  11.8152  11.2132
   0.1073783968   0.1073783968  -2.89962  3.49182   12.8579  14.2118  11.7299  11.1334
   0.1092229960   0.1092229960  -2.87082  3.49566   12.7640  14.0881  11.6460  11.0556
   0.1110675952   0.1110675952  -2.84250  3.49943   12.6721  13.9679  11.5639  10.9795
   0.1129121944   0.1129121944  -2.81464  3.50314   12.5830  13.8522  11.4840  10.9051
   0.1147567936   0.1147567936  -2.78723  3.50679   12.4970  13.7417  11.4070  10.8322
   0.1166013928   0.1166013928  -2.76026  3.51039   12.4134  13.6350  11.3321  10.7609
   0.1184459919   0.1184459919  -2.73371  3.51393   12.3301  13.5287  11.2574  10.6910
   0.1202905911   0.1202905911  -2.70880  3.51714   12.2496  13.4264  11.1852  10.6257
   0.1221351903   0.1221351903  -2.69081  3.51883   12.1932  13.3578  11.1335  10.5794
   0.1239797895   0.1239797895  -2.67307  3.52050   12.1363  13.2882  11.0814  10.5338
   0.1258243887   0.1258243887  -2.65559  3.52215   12.0791  13.2181  11.0290  10.4888
   0.1276689879   0.1276689879  -2.63834  3.52377   12.0220  13.1481  10.9767  10.4445
   0.1295135871   0.1295135871  -2.62133  3.52538   11.9650  13.0785  10.9247  10.4008
   0.1313581863   0.1313581863  -2.60455  3.52696   11.9087  13.0098  10.8731  10.3578
   0.1332027855   0.1332027855  -2.58799  3.52851   11.8532  12.9425  10.8223  10.3154
   0.1350473847   0.1350473847  -2.57165  3.53005   11.7987  12.8769  10.7724  10.2736
   0.1368919839   0.1368919839  -2.55552  3.53157   11.7455  12.8134  10.7237  10.2324
   0.1387365831   0.1387365831  -2.53960  3.53307   11.6938  12.7523  10.6761  10.1917
   0.1405811823   0.1405811823  -2.52387  3.53454   11.6435  12.6934  10.6299  10.1517
   0.1424257815   0.1424257815  -2.50834  3.53600   11.5946  12.6366  10.5848  10.1122
   0.1442703807   0.1442703807  -2.49300  3.53745   11.5469  12.5817  10.5408  10.0733
   0.1461149799   0.1461149799  -2.47785  3.53887   11.5004  12.5285  10.4979  10.0348
   0.1479595791   0.1479595791  -2.46287  3.54027   11.4551  12.4769  10.4561   9.9970
   0.1498041783   0.1498041783  -2.44808  3.54166   11.4109  12.4267  10.4152   9.9596
   0.1516487775   0.1516487775  -2.43551  3.54259   11.3750  12.3868  10.3815   9.9280
   0.1534933766   0.1534933766  -2.42332  3.54345   11.3405  12.3487  10.3490   9.8973
   0.1553379758   0.1553379758  -2.41127  3.54431   11.3066  12.3113  10.3171   9.8671
   0.1571825750   0.1571825750  -2.39935  3.54515   11.2732  12.2745  10.2857   9.8372
   0.1590271742   0.1590271742  -2.38755  3.54599   11.2404  12.2382  10.2548   9.8076
   0.1608717734   0.1608717734  -2.37589  3.54681   11.2080  12.2025  10.2244   9.7784
   0.1627163726   0.1627163726  -2.36434  3.54762   11.1762  12.1674  10.1944   9.7494
   0.1645609718   0.1645609718  -2.35291  3.54843   11.1447  12.1327  10.1647   9.7208
   0.1664055710   0.1664055710  -2.34160  3.54923   11.1137  12.0984  10.1355   9.6926
   0.1682501702   0.1682501702  -2.33041  3.55002   11.0830  12.0646  10.1067   9.6646
   0.1700947694   0.1700947694  -2.31933  3.55080   11.0527  12.0313  10.0782   9.6369
   0.1719393686   0.1719393686  -2.30835  3.55157   11.0228  11.9983  10.0500   9.6095
   0.1737839678   0.1737839678  -2.29749  3.55233   10.9932  11.9656  10.0222   9.5823
   0.1756285670   0.1756285670  -2.28673  3.55309   10.9639  11.9333   9.9946   9.5555
   0.1774731662   0.1774731662  -2.27607  3.55384   10.9350  11.9014   9.9673   9.5289
   0.1793177654   0.1793177654  -2.26552  3.55458   10.9062  11.8697   9.9403   9.5025
   0.1811623646   0.1811623646  -2.25553  3.55522   10.8792  11.8401   9.9147   9.4776
   0.1830069638   0.1830069638  -2.24591  3.55580   10.8533  11.8118   9.8902   9.4536
   0.1848515630   0.1848515630  -2.23638  3.55638   10.8276  11.7838   9.8658   9.4299
   0.1866961621   0.1866961621  -2.22693  3.55696   10.8022  11.7560   9.8417   9.4063
   0.1885407613   0.1885407613  -2.21758  3.55752   10.7769  11.7284   9.8177   9.3830
   0.1903853605   0.1903853605  -2.20830  3.55808   10.7518  11.7011   9.7940   9.3599
   0.1922299597   0.1922299597  -2.19911  3.55864   10.7270  11.6740   9.7704   9.3369
