# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -0.001   Z = 0.0149205   Y = 0.26948852   Age (Myr) = 13000.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP    G_RVS
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -3.13150  3.42889   14.4084  17.0184  12.9921  12.5298
   0.1022752310   0.1022752310  -3.09486  3.43419   14.2592  16.7820  12.8559  12.3731
   0.1045504621   0.1045504621  -3.05910  3.43937   14.1110  16.5355  12.7226  12.2190
   0.1068256931   0.1068256931  -3.02407  3.44444   13.9647  16.2876  12.5921  12.0689
   0.1091009241   0.1091009241  -2.98976  3.44941   13.8213  16.0474  12.4648  11.9245
   0.1113761552   0.1113761552  -2.95611  3.45429   13.6812  15.8181  12.3405  11.7862
   0.1136513862   0.1136513862  -2.92302  3.45908   13.5439  15.5979  12.2190  11.6532
   0.1159266172   0.1159266172  -2.89042  3.46382   13.4090  15.3848  12.1000  11.5248
   0.1182018482   0.1182018482  -2.85821  3.46849   13.2764  15.1776  11.9834  11.4004
   0.1204770793   0.1204770793  -2.82852  3.47259   13.1576  14.9958  11.8786  11.2902
   0.1227523103   0.1227523103  -2.80754  3.47461   13.0835  14.8914  11.8116  11.2210
   0.1250275413   0.1250275413  -2.78693  3.47659   13.0111  14.7898  11.7461  11.1537
   0.1273027724   0.1273027724  -2.76666  3.47854   12.9402  14.6911  11.6821  11.0882
   0.1295780034   0.1295780034  -2.74670  3.48047   12.8708  14.5948  11.6194  11.0242
   0.1318532344   0.1318532344  -2.72704  3.48236   12.8027  14.5009  11.5579  10.9618
   0.1341284655   0.1341284655  -2.70766  3.48422   12.7358  14.4091  11.4975  10.9007
   0.1364036965   0.1364036965  -2.68843  3.48606   12.6697  14.3189  11.4378  10.8406
   0.1386789275   0.1386789275  -2.66945  3.48788   12.6047  14.2307  11.3791  10.7817
   0.1409541585   0.1409541585  -2.65078  3.48966   12.5408  14.1444  11.3214  10.7241
   0.1432293896   0.1432293896  -2.63241  3.49141   12.4780  14.0600  11.2646  10.6677
   0.1455046206   0.1455046206  -2.61433  3.49314   12.4162  13.9773  11.2088  10.6125
   0.1477798516   0.1477798516  -2.59653  3.49484   12.3554  13.8964  11.1538  10.5584
   0.1500550827   0.1500550827  -2.57907  3.49650   12.2961  13.8178  11.1001  10.5056
   0.1523303137   0.1523303137  -2.56474  3.49751   12.2508  13.7609  11.0582  10.4645
   0.1546055447   0.1546055447  -2.55061  3.49851   12.2062  13.7051  11.0170  10.4240
   0.1568807758   0.1568807758  -2.53668  3.49949   12.1623  13.6504  10.9764  10.3842
   0.1591560068   0.1591560068  -2.52295  3.50046   12.1192  13.5968  10.9365  10.3451
   0.1614312378   0.1614312378  -2.50932  3.50142   12.0766  13.5440  10.8970  10.3064
   0.1637064689   0.1637064689  -2.49574  3.50237   12.0342  13.4918  10.8578  10.2679
   0.1659816999   0.1659816999  -2.48231  3.50331   11.9926  13.4406  10.8192  10.2301
   0.1682569309   0.1682569309  -2.46905  3.50423   11.9516  13.3904  10.7812  10.1927
   0.1705321619   0.1705321619  -2.45594  3.50515   11.9112  13.3412  10.7437  10.1560
   0.1728073930   0.1728073930  -2.44298  3.50605   11.8715  13.2929  10.7069  10.1198
   0.1750826240   0.1750826240  -2.43018  3.50694   11.8324  13.2456  10.6706  10.0841
   0.1773578550   0.1773578550  -2.41752  3.50781   11.7938  13.1990  10.6348  10.0489
   0.1796330861   0.1796330861  -2.40501  3.50868   11.7557  13.1532  10.5994  10.0141
   0.1819083171   0.1819083171  -2.39328  3.50942   11.7207  13.1115  10.5667   9.9819
   0.1841835481   0.1841835481  -2.38182  3.51013   11.6866  13.0711  10.5348   9.9505
   0.1864587792   0.1864587792  -2.37047  3.51083   11.6528  13.0311  10.5032   9.9195
   0.1887340102   0.1887340102  -2.35926  3.51152   11.6194  12.9916  10.4720   9.8888
   0.1910092412   0.1910092412  -2.34816  3.51220   11.5863  12.9524  10.4411   9.8585
   0.1932844722   0.1932844722  -2.33718  3.51287   11.5535  12.9136  10.4104   9.8285
   0.1955597033   0.1955597033  -2.32632  3.51354   11.5210  12.8751  10.3801   9.7989
   0.1978349343   0.1978349343  -2.31557  3.51420   11.4887  12.8368  10.3500   9.7695
   0.2001101653   0.2001101653  -2.30496  3.51485   11.4569  12.7989  10.3202   9.7406
   0.2023853964   0.2023853964  -2.29487  3.51543   11.4268  12.7634  10.2920   9.7132
   0.2046606274   0.2046606274  -2.28489  3.51600   11.3969  12.7280  10.2640   9.6860
