# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -0.001   Z = 0.0149205   Y = 0.26948852   Age (Myr) = 11000.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP    G_RVS
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -3.13125  3.42893   14.4074  17.0169  12.9912  12.5288
   0.1024166452   0.1024166452  -3.09239  3.43455   14.2490  16.7653  12.8467  12.3625
   0.1048332904   0.1048332904  -3.05439  3.44005   14.0914  16.5023  12.7050  12.1987
   0.1072499356   0.1072499356  -3.01730  3.44542   13.9364  16.2398  12.5669  12.0401
   0.1096665808   0.1096665808  -2.98099  3.45068   13.7848  15.9872  12.4323  11.8882
   0.1120832261   0.1120832261  -2.94540  3.45583   13.6368  15.7465  12.3011  11.7430
   0.1144998713   0.1144998713  -2.91045  3.46090   13.4919  15.5156  12.1731  11.6035
   0.1169165165   0.1169165165  -2.87605  3.46589   13.3499  15.2922  12.0479  11.4691
   0.1193331617   0.1193331617  -2.84210  3.47082   13.2106  15.0757  11.9256  11.3394
   0.1217498069   0.1217498069  -2.81655  3.47374   13.1153  14.9362  11.8404  11.2507
   0.1241664521   0.1241664521  -2.79450  3.47586   13.0377  14.8272  11.7702  11.1784
   0.1265830973   0.1265830973  -2.77286  3.47794   12.9619  14.7213  11.7017  11.1082
   0.1289997425   0.1289997425  -2.75160  3.47999   12.8878  14.6184  11.6347  11.0399
   0.1314163877   0.1314163877  -2.73068  3.48200   12.8153  14.5183  11.5693  10.9733
   0.1338330329   0.1338330329  -2.71010  3.48398   12.7442  14.4207  11.5051  10.9084
   0.1362496782   0.1362496782  -2.68983  3.48593   12.6745  14.3254  11.4421  10.8449
   0.1386663234   0.1386663234  -2.66974  3.48786   12.6056  14.2318  11.3799  10.7825
   0.1410829686   0.1410829686  -2.64992  3.48975   12.5378  14.1402  11.3186  10.7214
   0.1434996138   0.1434996138  -2.63043  3.49161   12.4711  14.0507  11.2584  10.6616
   0.1459162590   0.1459162590  -2.61127  3.49344   12.4057  13.9632  11.1993  10.6031
   0.1483329042   0.1483329042  -2.59243  3.49524   12.3414  13.8776  11.1411  10.5459
   0.1507495494   0.1507495494  -2.57486  3.49680   12.2827  13.8010  11.0877  10.4935
   0.1531661946   0.1531661946  -2.55974  3.49787   12.2349  13.7410  11.0435  10.4501
   0.1555828398   0.1555828398  -2.54484  3.49892   12.1879  13.6822  11.0001  10.4074
   0.1579994851   0.1579994851  -2.53016  3.49996   12.1417  13.6247  10.9574  10.3655
   0.1604161303   0.1604161303  -2.51569  3.50099   12.0964  13.5684  10.9154  10.3244
   0.1628327755   0.1628327755  -2.50144  3.50199   12.0518  13.5133  10.8741  10.2839
   0.1652494207   0.1652494207  -2.48739  3.50299   12.0080  13.4593  10.8336  10.2442
   0.1676660659   0.1676660659  -2.47354  3.50396   11.9650  13.4065  10.7938  10.2051
   0.1700827111   0.1700827111  -2.45988  3.50493   11.9228  13.3549  10.7546  10.1667
   0.1724993563   0.1724993563  -2.44641  3.50588   11.8814  13.3044  10.7162  10.1289
   0.1749160015   0.1749160015  -2.43301  3.50682   11.8403  13.2546  10.6781  10.0915
   0.1773326467   0.1773326467  -2.41962  3.50775   11.7995  13.2052  10.6403  10.0542
   0.1797492920   0.1797492920  -2.40639  3.50867   11.7592  13.1567  10.6029  10.0175
   0.1821659372   0.1821659372  -2.39406  3.50945   11.7224  13.1129  10.5685   9.9836
