# Isochrone from from BaSTI-IAC database
# Alpha-enhanced=+0.4 models & transformations  -  GAIA-DR3-NEW
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -2.199   Z = 0.0000996   Y = 0.24711700   Age (Myr) = 13000.000
#===============================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP    G_RVS
#===============================================================
   0.2149140036   0.2149140036  -1.96996  3.60094    9.9774  10.7251   9.1373   8.7657
   0.2166819113   0.2166819113  -1.96243  3.60133    9.9575  10.7036   9.1183   8.7470
   0.2184498191   0.2184498191  -1.95496  3.60172    9.9378  10.6822   9.0996   8.7285
   0.2202177268   0.2202177268  -1.94755  3.60210    9.9182  10.6610   9.0809   8.7101
   0.2219856346   0.2219856346  -1.94020  3.60248    9.8987  10.6400   9.0624   8.6918
   0.2237535423   0.2237535423  -1.93292  3.60285    9.8795  10.6192   9.0441   8.6737
   0.2255214501   0.2255214501  -1.92569  3.60322    9.8603  10.5985   9.0259   8.6558
   0.2272893578   0.2272893578  -1.91853  3.60359    9.8413  10.5780   9.0078   8.6380
   0.2290572655   0.2290572655  -1.91142  3.60396    9.8225  10.5577   8.9899   8.6203
   0.2308251733   0.2308251733  -1.90437  3.60432    9.8038  10.5376   8.9721   8.6028
   0.2325930810   0.2325930810  -1.89738  3.60468    9.7853  10.5177   8.9545   8.5854
   0.2343609888   0.2343609888  -1.89043  3.60503    9.7669  10.4978   8.9370   8.5681
   0.2361288965   0.2361288965  -1.88350  3.60539    9.7485  10.4781   8.9195   8.5508
   0.2378968043   0.2378968043  -1.87662  3.60574    9.7302  10.4584   8.9021   8.5337
   0.2396647120   0.2396647120  -1.86980  3.60609    9.7121  10.4390   8.8849   8.5167
   0.2414326198   0.2414326198  -1.86302  3.60644    9.6942  10.4197   8.8678   8.4999
   0.2432005275   0.2432005275  -1.85630  3.60678    9.6763  10.4005   8.8508   8.4831
   0.2449684353   0.2449684353  -1.84963  3.60712    9.6586  10.3815   8.8339   8.4665
   0.2467363430   0.2467363430  -1.84301  3.60746    9.6410  10.3626   8.8172   8.4500
   0.2485042508   0.2485042508  -1.83644  3.60779    9.6236  10.3439   8.8006   8.4337
   0.2502721585   0.2502721585  -1.82993  3.60812    9.6063  10.3253   8.7841   8.4175
   0.2520400663   0.2520400663  -1.82361  3.60845    9.5895  10.3073   8.7681   8.4018
   0.2538079740   0.2538079740  -1.81735  3.60877    9.5728  10.2894   8.7523   8.3861
