# Isochrone from from BaSTI-IAC database
# Alpha-enhanced=+0.4 models & transformations  -  GAIA-DR3-NEW
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -2.199   Z = 0.0000996   Y = 0.24711700   Age (Myr) = 5000.000
#===============================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP    G_RVS
#===============================================================
   0.1000000000   0.1000000000  -2.90490  3.51739   12.5500  13.6371  11.5293  10.9996
   0.1024732156   0.1024732156  -2.86309  3.52259   12.4305  13.4972  11.4178  10.9145
   0.1049464311   0.1049464311  -2.82223  3.52766   12.3085  13.3563  11.3029  10.8337
   0.1074196467   0.1074196467  -2.78230  3.53262   12.1874  13.2174  11.1893  10.7517
   0.1098928623   0.1098928623  -2.74324  3.53747   12.0700  13.0831  11.0803  10.6652
   0.1123660778   0.1123660778  -2.70502  3.54222   11.9576  12.9537  10.9771  10.5759
   0.1148392934   0.1148392934  -2.66760  3.54687   11.8509  12.8293  10.8802  10.4857
   0.1173125089   0.1173125089  -2.63095  3.55143   11.7491  12.7092  10.7887  10.3960
   0.1197857245   0.1197857245  -2.59505  3.55589   11.6501  12.5919  10.7001  10.3076
   0.1222589401   0.1222589401  -2.56993  3.55825   11.5823  12.5143  10.6379  10.2458
   0.1247321556   0.1247321556  -2.54626  3.56037   11.5184  12.4416  10.5789  10.1875
   0.1272053712   0.1272053712  -2.52304  3.56245   11.4555  12.3702  10.5210  10.1305
   0.1296785868   0.1296785868  -2.50026  3.56449   11.3937  12.2999  10.4640  10.0745
   0.1321518023   0.1321518023  -2.47791  3.56649   11.3330  12.2309  10.4080  10.0196
   0.1346250179   0.1346250179  -2.45596  3.56846   11.2734  12.1631  10.3531   9.9657
   0.1370982335   0.1370982335  -2.43441  3.57039   11.2148  12.0964  10.2992   9.9127
   0.1395714490   0.1395714490  -2.41323  3.57229   11.1573  12.0309  10.2462   9.8606
   0.1420446646   0.1420446646  -2.39242  3.57415   11.1008  11.9665  10.1942   9.8094
   0.1445178802   0.1445178802  -2.37197  3.57598   11.0452  11.9031  10.1431   9.7591
   0.1469910957   0.1469910957  -2.35185  3.57778   10.9905  11.8407  10.0928   9.7096
   0.1494643113   0.1494643113  -2.33206  3.57955   10.9367  11.7794  10.0433   9.6608
