# Isochrone from from BaSTI-IAC database
# Alpha-enhanced=+0.4 models & transformations  -  GAIA-DR3-NEW
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -0.998   Z = 0.0015720   Y = 0.24904000   Age (Myr) = 5000.000
#===============================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP    G_RVS
#===============================================================
   0.1000000000   0.1000000000  -3.01807  3.47600   13.2449  14.7332  12.0757  11.4610
   0.1025761869   0.1025761869  -2.97516  3.48171   13.1042  14.5416  11.9500  11.3407
   0.1051523738   0.1051523738  -2.93330  3.48728   12.9678  14.3583  11.8281  11.2253
   0.1077285607   0.1077285607  -2.89245  3.49272   12.8348  14.1816  11.7092  11.1141
   0.1103047477   0.1103047477  -2.85256  3.49803   12.7050  14.0111  11.5932  11.0066
   0.1128809346   0.1128809346  -2.81358  3.50322   12.5799  13.8486  11.4812  10.9024
   0.1154571215   0.1154571215  -2.77548  3.50829   12.4609  13.6958  11.3745  10.8012
   0.1180333084   0.1180333084  -2.73821  3.51326   12.3448  13.5478  11.2705  10.7029
   0.1206094953   0.1206094953  -2.70434  3.51753   12.2359  13.4099  11.1726  10.6143
   0.1231856822   0.1231856822  -2.67945  3.51988   12.1571  13.3138  11.1004  10.5502
   0.1257618691   0.1257618691  -2.65507  3.52218   12.0777  13.2165  11.0276  10.4875
   0.1283380561   0.1283380561  -2.63119  3.52443   11.9983  13.1192  10.9550  10.4262
   0.1309142430   0.1309142430  -2.60778  3.52663   11.9197  13.0234  10.8832  10.3661
   0.1334904299   0.1334904299  -2.58482  3.52879   11.8427  12.9300  10.8127  10.3073
   0.1360666168   0.1360666168  -2.56229  3.53092   11.7679  12.8401  10.7442  10.2497
   0.1386428037   0.1386428037  -2.54019  3.53300   11.6958  12.7547  10.6780  10.1933
   0.1412189906   0.1412189906  -2.51849  3.53504   11.6265  12.6737  10.6142  10.1380
   0.1437951775   0.1437951775  -2.49718  3.53705   11.5598  12.5965  10.5527  10.0838
   0.1463713645   0.1463713645  -2.47624  3.53902   11.4955  12.5229  10.4934  10.0308
   0.1489475514   0.1489475514  -2.45567  3.54096   11.4335  12.4522  10.4361   9.9788
   0.1515237383   0.1515237383  -2.43742  3.54246   11.3804  12.3928  10.3866   9.9328
   0.1540999252   0.1540999252  -2.42083  3.54365   11.3334  12.3408  10.3424   9.8911
   0.1566761121   0.1566761121  -2.40450  3.54482   11.2875  12.2901  10.2992   9.8501
   0.1592522990   0.1592522990  -2.38844  3.54597   11.2427  12.2406  10.2570   9.8098
   0.1618284860   0.1618284860  -2.37263  3.54711   11.1988  12.1921  10.2158   9.7702
   0.1644046729   0.1644046729  -2.35707  3.54822   11.1558  12.1447  10.1754   9.7312
   0.1669808598   0.1669808598  -2.34174  3.54932   11.1137  12.0982  10.1357   9.6928
   0.1695570467   0.1695570467  -2.32664  3.55040   11.0723  12.0525  10.0968   9.6551
   0.1721332336   0.1721332336  -2.31177  3.55147   11.0317  12.0076  10.0586   9.6179
   0.1747094205   0.1747094205  -2.29711  3.55252   10.9917  11.9634  10.0210   9.5813
   0.1772856074   0.1772856074  -2.28267  3.55356   10.9523  11.9200   9.9840   9.5453
   0.1798617944   0.1798617944  -2.26843  3.55458   10.9135  11.8771   9.9475   9.5097
   0.1824379813   0.1824379813  -2.25540  3.55540   10.8783  11.8386   9.9142   9.4772
   0.1850141682   0.1850141682  -2.24261  3.55619   10.8438  11.8009   9.8815   9.4453
   0.1875903551   0.1875903551  -2.22998  3.55698   10.8097  11.7636   9.8492   9.4138
   0.1901665420   0.1901665420  -2.21753  3.55776   10.7759  11.7267   9.8172   9.3828
   0.1927427289   0.1927427289  -2.20523  3.55852   10.7426  11.6903   9.7857   9.3521
