# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  GAIA-DR3
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = -0.001   Z = 0.0149205   Y = 0.26948852   Age (Myr) = 10000.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        G     G_BP     G_RP    G_RVS
#========================================================================================================================================================================================================
   0.1000000000   0.1000000000  -3.13111  3.42895   14.4069  17.0161  12.9906  12.5282
   0.1024879327   0.1024879327  -3.09113  3.43473   14.2438  16.7568  12.8420  12.3571
   0.1049758655   0.1049758655  -3.05202  3.44039   14.0815  16.4856  12.6962  12.1885
   0.1074637982   0.1074637982  -3.01389  3.44591   13.9222  16.2158  12.5543  12.0258
   0.1099517310   0.1099517310  -2.97658  3.45131   13.7664  15.9570  12.4160  11.8700
   0.1124396637   0.1124396637  -2.94003  3.45661   13.6145  15.7107  12.2814  11.7213
   0.1149275965   0.1149275965  -2.90415  3.46181   13.4659  15.4745  12.1501  11.5787
   0.1174155292   0.1174155292  -2.86886  3.46693   13.3204  15.2461  12.0220  11.4414
   0.1199034619   0.1199034619  -2.83404  3.47199   13.1779  15.0252  11.8968  11.3091
   0.1223913947   0.1223913947  -2.81056  3.47431   13.0942  14.9065  11.8213  11.2310
   0.1248793274   0.1248793274  -2.78798  3.47649   13.0148  14.7952  11.7495  11.1572
   0.1273672602   0.1273672602  -2.76582  3.47862   12.9374  14.6872  11.6795  11.0856
   0.1298551929   0.1298551929  -2.74407  3.48071   12.8617  14.5823  11.6112  11.0159
   0.1323431256   0.1323431256  -2.72269  3.48277   12.7877  14.4803  11.5443  10.9481
   0.1348310584   0.1348310584  -2.70165  3.48479   12.7152  14.3809  11.4788  10.8819
   0.1373189911   0.1373189911  -2.68094  3.48678   12.6440  14.2839  11.4146  10.8173
   0.1398069239   0.1398069239  -2.66045  3.48875   12.5737  14.1887  11.3511  10.7538
   0.1422948566   0.1422948566  -2.64021  3.49068   12.5045  14.0955  11.2886  10.6915
   0.1447827894   0.1447827894  -2.62033  3.49258   12.4366  14.0044  11.2272  10.6307
   0.1472707221   0.1472707221  -2.60078  3.49445   12.3698  13.9154  11.1668  10.5712
   0.1497586548   0.1497586548  -2.58156  3.49628   12.3043  13.8285  11.1076  10.5130
   0.1522465876   0.1522465876  -2.56558  3.49746   12.2534  13.7641  11.0606  10.4668
   0.1547345203   0.1547345203  -2.55017  3.49855   12.2047  13.7031  11.0156  10.4227
   0.1572224531   0.1572224531  -2.53499  3.49963   12.1569  13.6435  10.9714  10.3793
   0.1597103858   0.1597103858  -2.52004  3.50068   12.1100  13.5852  10.9280  10.3367
   0.1621983185   0.1621983185  -2.50532  3.50172   12.0639  13.5281  10.8853  10.2949
   0.1646862513   0.1646862513  -2.49081  3.50275   12.0186  13.4723  10.8434  10.2538
   0.1671741840   0.1671741840  -2.47651  3.50376   11.9742  13.4177  10.8023  10.2134
   0.1696621168   0.1696621168  -2.46242  3.50476   11.9306  13.3643  10.7619  10.1738
